time,threadId,data.consumed.in.MB,MB.sec,data.consumed.in.nMsg,nMsg.sec,rebalance.time.ms,fetch.time.ms,fetch.MB.sec,fetch.nMsg.sec
2025-07-2318:43:01:348,0,71.9888,14.3978,147433,29486.6000,3635,1365,52.7390,108009.5238
2025-07-2318:43:06:358,0,120.6665,9.7161,247125,19898.6028,0,5010,9.7161,19898.6028
2025-07-2318:43:11:358,0,169.7446,9.8156,347637,20102.4000,0,5000,9.8156,20102.4000
2025-07-2318:43:16:358,0,218.5698,9.7650,447631,19998.8000,0,5000,9.7650,19998.8000
2025-07-2318:43:21:358,0,267.3989,9.7658,547633,20000.4000,0,5000,9.7658,20000.4000
2025-07-2318:43:26:358,0,316.2241,9.7650,647627,19998.8000,0,5000,9.7650,19998.8000
2025-07-2318:43:31:378,0,365.0059,9.7175,747532,19901.3944,0,5020,9.7175,19901.3944
2025-07-2318:43:36:378,0,414.0752,9.8139,848026,20098.8000,0,5000,9.8139,20098.8000
2025-07-2318:43:41:378,0,462.8999,9.7649,948019,19998.6000,0,5000,9.7649,19998.6000
2025-07-2318:43:46:378,0,511.7329,9.7666,1048029,20002.0000,0,5000,9.7666,20002.0000
2025-07-2318:43:51:378,0,560.5605,9.7655,1148028,19999.8000,0,5000,9.7655,19999.8000
2025-07-2318:43:56:394,0,609.3076,9.7183,1247862,19903.1100,0,5016,9.7183,19903.1100
2025-07-2318:44:01:394,0,658.3682,9.8121,1348338,20095.2000,0,5000,9.8121,20095.2000
2025-07-2318:44:06:394,0,707.2036,9.7671,1448353,20003.0000,0,5000,9.7671,20003.0000
2025-07-2318:44:11:394,0,756.0269,9.7646,1548343,19998.0000,0,5000,9.7646,19998.0000
2025-07-2318:44:16:394,0,804.8550,9.7656,1648343,20000.0000,0,5000,9.7656,20000.0000
2025-07-2318:44:21:395,0,853.6924,9.7655,1748362,19999.8000,0,5001,9.7655,19999.8000
2025-07-2318:44:26:395,0,902.5298,9.7675,1848381,20003.8000,0,5000,9.7675,20003.8000
2025-07-2318:44:31:396,0,951.3550,9.7631,1948375,19994.8010,0,5001,9.7631,19994.8010
2025-07-2318:44:36:396,0,1000.1963,9.7683,2048402,20005.4000,0,5000,9.7683,20005.4000
2025-07-2318:44:41:396,0,1049.0195,9.7646,2148392,19998.0000,0,5000,9.7646,19998.0000
2025-07-2318:44:46:397,0,1097.8623,9.7666,2248422,20001.9996,0,5001,9.7666,20001.9996
2025-07-2318:44:51:397,0,1146.6812,9.7638,2348403,19996.2000,0,5000,9.7638,19996.2000
2025-07-2318:44:56:397,0,1195.5137,9.7665,2448412,20001.8000,0,5000,9.7665,20001.8000
2025-07-2318:45:01:397,0,1244.3374,9.7647,2548403,19998.2000,0,5000,9.7647,19998.2000
2025-07-2318:45:06:397,0,1293.1631,9.7651,2648398,19999.0000,0,5000,9.7651,19999.0000
2025-07-2318:45:11:397,0,1341.9985,9.7671,2748413,20003.0000,0,5000,9.7671,20003.0000
2025-07-2318:45:16:397,0,1390.8271,9.7657,2848414,20000.2000,0,5000,9.7657,20000.2000
2025-07-2318:45:21:397,0,1439.6440,9.7634,2948391,19995.4000,0,5000,9.7634,19995.4000
2025-07-2318:45:26:397,0,1488.4829,9.7678,3048413,20004.4000,0,5000,9.7678,20004.4000
2025-07-2318:45:31:397,0,1537.3154,9.7665,3148422,20001.8000,0,5000,9.7665,20001.8000
2025-07-2318:45:36:397,0,1586.1436,9.7656,3248422,20000.0000,0,5000,9.7656,20000.0000
2025-07-2318:45:41:397,0,1634.9565,9.7626,3348391,19993.8000,0,5000,9.7626,19993.8000
2025-07-2318:45:46:397,0,1683.7900,9.7667,3448402,20002.2000,0,5000,9.7667,20002.2000
2025-07-2318:45:51:397,0,1732.6182,9.7656,3548402,20000.0000,0,5000,9.7656,20000.0000
2025-07-2318:45:56:398,0,1781.4561,9.7656,3648422,20000.0000,0,5001,9.7656,20000.0000
2025-07-2318:46:01:398,0,1830.2886,9.7665,3748431,20001.8000,0,5000,9.7665,20001.8000
2025-07-2318:46:06:399,0,1879.1177,9.7639,3848433,19996.4007,0,5001,9.7639,19996.4007
2025-07-2318:46:11:399,0,1927.9565,9.7678,3948455,20004.4000,0,5000,9.7678,20004.4000
2025-07-2318:46:16:399,0,1976.7734,9.7634,4048432,19995.4000,0,5000,9.7634,19995.4000
2025-07-2318:46:21:399,0,2025.6177,9.7688,4148465,20006.6000,0,5000,9.7688,20006.6000
2025-07-2318:46:26:399,0,2074.4443,9.7653,4248462,19999.4000,0,5000,9.7653,19999.4000
2025-07-2318:46:31:399,0,2123.2676,9.7646,4348452,19998.0000,0,5000,9.7646,19998.0000
2025-07-2318:46:36:399,0,2172.0854,9.7636,4448431,19995.8000,0,5000,9.7636,19995.8000
2025-07-2318:46:41:399,0,2220.9185,9.7666,4548441,20002.0000,0,5000,9.7666,20002.0000
2025-07-2318:46:46:399,0,2269.7466,9.7656,4648441,20000.0000,0,5000,9.7656,20000.0000
2025-07-2318:46:51:399,0,2318.5820,9.7671,4748456,20003.0000,0,5000,9.7671,20003.0000
2025-07-2318:46:56:400,0,2367.4131,9.7643,4848462,19997.2006,0,5001,9.7643,19997.2006
2025-07-2318:47:01:400,0,2416.2466,9.7667,4948473,20002.2000,0,5000,9.7667,20002.2000
2025-07-2318:47:06:400,0,2465.0693,9.7646,5048462,19997.8000,0,5000,9.7646,19997.8000
2025-07-2318:47:11:400,0,2513.8994,9.7660,5148466,20000.8000,0,5000,9.7660,20000.8000
2025-07-2318:47:16:400,0,2562.7261,9.7653,5248463,19999.4000,0,5000,9.7653,19999.4000
2025-07-2318:47:21:400,0,2611.5508,9.7649,5348456,19998.6000,0,5000,9.7649,19998.6000
2025-07-2318:47:26:400,0,2660.3843,9.7667,5448467,20002.2000,0,5000,9.7667,20002.2000
2025-07-2318:47:31:401,0,2709.2202,9.7652,5548483,19999.2002,0,5001,9.7652,19999.2002
2025-07-2318:47:36:401,0,2758.0435,9.7646,5648473,19998.0000,0,5000,9.7646,19998.0000
2025-07-2318:47:41:401,0,2806.8823,9.7678,5748495,20004.4000,0,5000,9.7678,20004.4000
2025-07-2318:47:46:401,0,2855.7090,9.7653,5848492,19999.4000,0,5000,9.7653,19999.4000
2025-07-2318:47:51:401,0,2904.5425,9.7667,5948503,20002.2000,0,5000,9.7667,20002.2000
2025-07-2318:47:56:401,0,2953.3560,9.7627,6048473,19994.0000,0,5000,9.7627,19994.0000
2025-07-2318:48:01:401,0,3002.1904,9.7669,6148486,20002.6000,0,5000,9.7669,20002.6000
2025-07-2318:48:06:401,0,3051.0122,9.7644,6248473,19997.4000,0,5000,9.7644,19997.4000
2025-07-2318:48:11:401,0,3099.8071,9.7590,6348405,19986.4000,0,5000,9.7590,19986.4000
2025-07-2318:48:16:401,0,3148.6660,9.7718,6448468,20012.6000,0,5000,9.7718,20012.6000
2025-07-2318:48:21:401,0,3197.4985,9.7665,6548477,20001.8000,0,5000,9.7665,20001.8000
2025-07-2318:48:26:401,0,3246.3276,9.7658,6648479,20000.4000,0,5000,9.7658,20000.4000
2025-07-2318:48:31:401,0,3295.1523,9.7649,6748472,19998.6000,0,5000,9.7649,19998.6000
2025-07-2318:48:36:401,0,3343.9951,9.7686,6848502,20006.0000,0,5000,9.7686,20006.0000
2025-07-2318:48:41:402,0,3392.8188,9.7628,6948493,19994.2012,0,5001,9.7628,19994.2012
2025-07-2318:48:46:402,0,3441.6533,9.7669,7048506,20002.6000,0,5000,9.7669,20002.6000
2025-07-2318:48:51:402,0,3490.4922,9.7678,7148528,20004.4000,0,5000,9.7678,20004.4000
2025-07-2318:48:56:403,0,3539.0693,9.7135,7248014,19893.2214,0,5001,9.7135,19893.2214
2025-07-2318:49:01:403,0,3588.1509,9.8163,7348533,20103.8000,0,5000,9.8163,20103.8000
2025-07-2318:49:06:403,0,3636.9692,9.7637,7448513,19996.0000,0,5000,9.7637,19996.0000
2025-07-2318:49:11:403,0,3685.8081,9.7678,7548535,20004.4000,0,5000,9.7678,20004.4000
2025-07-2318:49:16:403,0,3734.6353,9.7654,7648533,19999.6000,0,5000,9.7654,19999.6000
2025-07-2318:49:21:403,0,3783.4575,9.7645,7748521,19997.6000,0,5000,9.7645,19997.6000
2025-07-2318:49:26:427,0,3832.2842,9.7187,7848518,19903.8615,0,5024,9.7187,19903.8615
2025-07-2318:49:31:427,0,3881.3540,9.8140,7949013,20099.0000,0,5000,9.8140,20099.0000
2025-07-2318:49:36:427,0,3930.1865,9.7665,8049022,20001.8000,0,5000,9.7665,20001.8000
2025-07-2318:49:41:439,0,3978.8701,9.7134,8148726,19893.0567,0,5012,9.7134,19893.0567
2025-07-2318:49:46:439,0,4027.9526,9.8165,8249247,20104.2000,0,5000,9.8165,20104.2000
2025-07-2318:49:51:439,0,4076.7686,9.7632,8349222,19995.0000,0,5000,9.7632,19995.0000
2025-07-2318:49:56:439,0,4125.6069,9.7677,8449243,20004.2000,0,5000,9.7677,20004.2000
2025-07-2318:50:01:439,0,4174.4443,9.7675,8549262,20003.8000,0,5000,9.7675,20003.8000
2025-07-2318:50:06:439,0,4223.2603,9.7632,8649237,19995.0000,0,5000,9.7632,19995.0000
2025-07-2318:50:11:439,0,4272.0854,9.7650,8749231,19998.8000,0,5000,9.7650,19998.8000
2025-07-2318:50:16:440,0,4320.9287,9.7667,8849262,20002.1996,0,5001,9.7667,20002.1996
2025-07-2318:50:21:440,0,4369.7534,9.7649,8949255,19998.6000,0,5000,9.7649,19998.6000
2025-07-2318:50:26:440,0,4418.5957,9.7685,9049284,20005.8000,0,5000,9.7685,20005.8000
2025-07-2318:50:31:440,0,4467.4028,9.7614,9149241,19991.4000,0,5000,9.7614,19991.4000
2025-07-2318:50:36:440,0,4516.2466,9.7688,9249273,20006.4000,0,5000,9.7688,20006.4000
2025-07-2318:50:41:440,0,4565.0679,9.7643,9349259,19997.2000,0,5000,9.7643,19997.2000
2025-07-2318:50:46:440,0,4613.8965,9.7657,9449260,20000.2000,0,5000,9.7657,20000.2000
2025-07-2318:50:51:440,0,4662.7314,9.7670,9549274,20002.8000,0,5000,9.7670,20002.8000
2025-07-2318:50:56:440,0,4711.5542,9.7646,9649263,19997.8000,0,5000,9.7646,19997.8000
2025-07-2318:51:01:440,0,4760.3833,9.7658,9749265,20000.4000,0,5000,9.7658,20000.4000
2025-07-2318:51:06:440,0,4809.2104,9.7654,9849263,19999.6000,0,5000,9.7654,19999.6000
2025-07-2318:51:11:440,0,4858.0386,9.7656,9949263,20000.0000,0,5000,9.7656,20000.0000
2025-07-2318:51:16:440,0,4906.8716,9.7666,10049273,20002.0000,0,5000,9.7666,20002.0000
2025-07-2318:51:21:440,0,4955.6914,9.7640,10149256,19996.6000,0,5000,9.7640,19996.6000
2025-07-2318:51:26:440,0,5004.5273,9.7672,10249272,20003.2000,0,5000,9.7672,20003.2000
2025-07-2318:51:31:440,0,5053.3530,9.7651,10349267,19999.0000,0,5000,9.7651,19999.0000
2025-07-2318:51:36:440,0,5102.1841,9.7662,10449273,20001.2000,0,5000,9.7662,20001.2000
2025-07-2318:51:41:440,0,5151.0112,9.7654,10549271,19999.6000,0,5000,9.7654,19999.6000
2025-07-2318:51:46:440,0,5199.8374,9.7652,10649267,19999.2000,0,5000,9.7652,19999.2000
2025-07-2318:51:51:440,0,5248.6611,9.7647,10749258,19998.2000,0,5000,9.7647,19998.2000
2025-07-2318:51:56:440,0,5297.4912,9.7660,10849262,20000.8000,0,5000,9.7660,20000.8000
2025-07-2318:52:01:440,0,5346.3247,9.7667,10949273,20002.2000,0,5000,9.7667,20002.2000
2025-07-2318:52:06:441,0,5395.1626,9.7656,11049293,20000.0000,0,5001,9.7656,20000.0000
2025-07-2318:52:11:441,0,5443.9917,9.7658,11149295,20000.4000,0,5000,9.7658,20000.4000
2025-07-2318:52:16:441,0,5492.8237,9.7664,11249303,20001.6000,0,5000,9.7664,20001.6000
2025-07-2318:52:21:441,0,5541.6416,9.7636,11349282,19995.8000,0,5000,9.7636,19995.8000
2025-07-2318:52:26:442,0,5590.4795,9.7656,11449302,20000.0000,0,5001,9.7656,20000.0000
2025-07-2318:52:31:442,0,5639.3125,9.7666,11549312,20002.0000,0,5000,9.7666,20002.0000
2025-07-2318:52:36:442,0,5688.1421,9.7659,11649315,20000.6000,0,5000,9.7659,20000.6000
2025-07-2318:52:41:442,0,5736.9766,9.7669,11749328,20002.6000,0,5000,9.7669,20002.6000
2025-07-2318:52:46:442,0,5785.7886,9.7624,11849295,19993.4000,0,5000,9.7624,19993.4000
2025-07-2318:52:51:442,0,5834.6255,9.7674,11949313,20003.6000,0,5000,9.7674,20003.6000